REF_DATE,GEO,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
2022-03-01,Quebec,Both sexes,15 years and over,4411600.0,3611300.0,4602900.0,800300.0,7131700.0,191300.0,61.9,64.5,4.2
2022-03-01,Saskatchewan,Both sexes,15 years and over,578500.0,474300.0,609000.0,104100.0,894200.0,30600.0,64.7,68.1,5.0
2022-04-01,Alberta,Both sexes,15 years and over,2366400.0,1916600.0,2520300.0,449700.0,3593300.0,154000.0,65.9,70.1,6.1
2022-04-01,British Columbia,Both sexes,15 years and over,2744300.0,2165800.0,2883600.0,578600.0,4415100.0,139300.0,62.2,65.3,4.8
2022-04-01,Canada,Both sexes,15 years and over,19716200.0,16039100.0,20811900.0,3677100.0,31662900.0,1095700.0,62.3,65.7,5.3
2022-04-01,Manitoba,Both sexes,15 years and over,674000.0,542000.0,708000.0,132100.0,1060400.0,33900.0,63.6,66.8,4.8
2022-04-01,New Brunswick,Both sexes,15 years and over,374700.0,322100.0,400400.0,52600.0,659700.0,25600.0,56.8,60.7,6.4
2022-04-01,Newfoundland and Labrador,Both sexes,15 years and over,230200.0,194200.0,260500.0,35900.0,447200.0,30400.0,51.5,58.3,11.7
2022-04-01,Nova Scotia,Both sexes,15 years and over,487600.0,400800.0,518900.0,86800.0,834600.0,31300.0,58.4,62.2,6.0
2022-04-01,Ontario,Both sexes,15 years and over,7780900.0,6353200.0,8225100.0,1427600.0,12482000.0,444300.0,62.3,65.9,5.4
2022-04-01,Prince Edward Island,Both sexes,15 years and over,84500.0,71400.0,91700.0,13100.0,138100.0,7300.0,61.2,66.4,8.0
2022-04-01,Quebec,Both sexes,15 years and over,4392200.0,3594100.0,4588400.0,798100.0,7136700.0,196200.0,61.5,64.3,4.3
2022-04-01,Saskatchewan,Both sexes,15 years and over,581500.0,478900.0,614900.0,102600.0,895700.0,33400.0,64.9,68.7,5.4
2022-05-01,Alberta,Both sexes,15 years and over,2380400.0,1961100.0,2525500.0,419200.0,3601700.0,145100.0,66.1,70.1,5.7
2022-05-01,British Columbia,Both sexes,15 years and over,2753000.0,2189600.0,2878000.0,563300.0,4421100.0,125100.0,62.3,65.1,4.3
2022-05-01,Canada,Both sexes,15 years and over,19747900.0,16163200.0,20823400.0,3584700.0,31705700.0,1075500.0,62.3,65.7,5.2
2022-05-01,Manitoba,Both sexes,15 years and over,676000.0,543900.0,707400.0,132000.0,1061800.0,31400.0,63.7,66.6,4.4
2022-05-01,New Brunswick,Both sexes,15 years and over,373000.0,319800.0,400800.0,53100.0,661300.0,27800.0,56.4,60.6,6.9
2022-05-01,Newfoundland and Labrador,Both sexes,15 years and over,234500.0,195600.0,261500.0,38900.0,447700.0,27000.0,52.4,58.4,10.3
2022-05-01,Nova Scotia,Both sexes,15 years and over,484400.0,399800.0,519900.0,84600.0,836800.0,35500.0,57.9,62.1,6.8
2022-05-01,Ontario,Both sexes,15 years and over,7764100.0,6362500.0,8211500.0,1401600.0,12495600.0,447400.0,62.1,65.7,5.4
2022-05-01,Prince Edward Island,Both sexes,15 years and over,85600.0,72100.0,92600.0,13500.0,138700.0,6900.0,61.7,66.8,7.5
2022-05-01,Quebec,Both sexes,15 years and over,4412600.0,3637900.0,4613600.0,774700.0,7143900.0,201000.0,61.8,64.6,4.4
2022-05-01,Saskatchewan,Both sexes,15 years and over,584400.0,480700.0,612600.0,103700.0,897200.0,28200.0,65.1,68.3,4.6
2022-06-01,Alberta,Both sexes,15 years and over,2390800.0,1949700.0,2521500.0,441100.0,3609000.0,130700.0,66.2,69.9,5.2
2022-06-01,British Columbia,Both sexes,15 years and over,2748500.0,2190200.0,2882800.0,558300.0,4426200.0,134300.0,62.1,65.1,4.7
